2002 2002 2002 2002 2002 2002 2002 2002 2002 2002 2002 2002 2002 2002 2002 2002 2002 2002 2002 2002 2002 2002 2002 2002
 278 278 278 278 278 278 278 278 278 278 278 278 278 278 278 278 278 278 278 278 278 278 278 278
  0   1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17  18  19  20  21  22  23
 2309  2309  2309  2309  2309  2309  2309  2309  2309  2309  2309  2309  2309  2309  2309  2309  2309  2309  2309  2309  2309  2309  2309  2309
 71  71  71  71  71  71  71  71  71  71  71  71  71  71  71  71  71  71  71  71  71  71  71  71
 71  71  71  71  71  71  71  71  71  71  71  71  71  71  71  71  71  71  71  71  71  71  71  71
  16   15   15   15   15   15   15   15   14   15   15   15   16   16   15   14   15   14   15   15   16   14   15   15
  16   15   15   15   15   15   15   15   14   15   15   15   16   16   15   14   15   14   15   15   16   14   15   15
   7.2    7.4    7.5    6.7    6.4    6.4    6.9    7.2    7.4    7.6    8.4    8.9   10.0   10.4   10.4   10.3    9.6    9.7    9.7    9.6    9.3    9.5    9.2    9.1
   6.5    6.6    6.7    6.4    6.2    6.2    6.7    6.8    7.2    7.4    8.2    8.4    9.0   10.2    9.9    9.8    9.3    9.4    9.4    9.5    9.1    9.2    9.0    8.9
 -20.7  -13.9  -25.7  -22.3    5.8   24.1   19.6    4.5  -12.2   -1.5  -39.0  -21.1  -43.6  -43.2  -40.7  -22.0  -16.1  -23.5   -0.5   -7.7  -17.6  -12.4   16.2   27.9
 124.8  124.0  133.3  141.8  155.2  159.4  141.3  141.4  139.9  144.5  137.7  143.7  125.4  106.5  110.4  113.2  112.9  117.9  135.5  145.8  137.5  146.0  141.5  150.2
  -3.5   -3.6   -4.1   -4.6   -5.6   -5.3   -4.9   -5.3   -5.4   -6.0   -4.7   -6.3   -3.8   -2.1   -2.6   -3.6   -3.5   -4.0   -6.7   -7.8   -6.4   -7.5   -6.8   -6.9
   5.0    5.3    4.4    3.7    2.6    2.0    4.0    4.2    4.5    4.3    4.3    4.7    5.3    7.1    7.0    8.3    8.3    7.6    6.6    5.3    5.9    5.0    5.4    3.9
  -2.3   -1.6   -2.9   -2.4    0.6    2.5    2.3    0.5   -1.5   -0.2   -5.1   -3.0   -6.2   -7.0   -6.4   -3.7   -2.6   -3.8   -0.1   -1.3   -2.7   -2.0    2.5    4.2
   4.3    4.7    3.3    2.7    2.6    2.9    4.6    3.9    3.0    3.5    0.8    2.3    1.2    2.6    3.1    5.9    6.6    5.8    6.2    4.7    5.1    4.4    5.8    4.7
  -3.4   -2.9   -4.1   -3.5   -0.5    1.4    0.1   -1.7   -3.7   -2.5   -6.6   -5.1   -8.1   -9.6   -9.0   -7.0   -5.7   -6.2   -2.1   -2.7   -4.1   -3.1    1.3    3.2
   0.1    0.1    0.2    0.1    0.1    0.1    0.3    0.1    0.2    0.2    0.2    0.3    0.3    0.1    0.2    0.2    0.1    0.1    0.1    0.2    0.2    0.2    0.1    0.1
   2.7    2.9    3.0    1.8    1.3    1.2    0.9    1.9    1.4    1.8    1.4    2.6    4.2    1.5    2.9    3.0    2.0    1.8    2.1    1.4    1.7    1.8    1.4    1.3
   0.7    1.3    0.5    0.6    0.3    0.3    0.3    0.4    0.4    0.4    0.6    0.4    1.9    1.0    2.0    1.5    1.4    1.1    0.8    0.4    0.8    1.1    0.5    0.3
   1.5    1.4    1.2    0.2    0.7    1.1    0.4    0.3    0.4    0.4    0.6    1.2    1.3    0.9    1.4    0.7    0.4    0.9    1.0    0.9    0.9    0.9    0.7    1.2
   2.1    2.2    2.7    1.7    1.0    0.4    0.7    1.9    1.3    1.7    1.2    2.3    3.5    0.8    1.6    2.5    1.4    1.1    1.7    0.9    1.1    1.0    1.1    0.6
   59698.    56665.    51719.    69398.    91037.    90758.    78801.    84969.    74574.    51365.    26626.    23304.    25178.    32251.    30709.    28566.    59407.    63001.    52577.    53966.    75496.    77319.    74474.   108540.
