index DOY ASY-D ASY-H SYM-D SYM-H
"2003-11-20 00:00:00" 324 6 9 0 -2
"2003-11-20 01:00:00" 324 8 9 1 -3
"2003-11-20 02:00:00" 324 6 12 0 -3
"2003-11-20 03:00:00" 324 8 17 3 -6
"2003-11-20 04:00:00" 324 18 26 4 -16
"2003-11-20 05:00:00" 324 12 40 3 -28
"2003-11-20 06:00:00" 324 9 45 3 -33
"2003-11-20 07:00:00" 324 17 51 2 -33
"2003-11-20 08:00:00" 324 76 72 2 -23
"2003-11-20 09:00:00" 324 156 159 2 -39
"2003-11-20 10:00:00" 324 128 137 8 -80
"2003-11-20 11:00:00" 324 74 109 2 -67
"2003-11-20 12:00:00" 324 139 178 15 -67
"2003-11-20 13:00:00" 324 149 146 12 -131
"2003-11-20 14:00:00" 324 109 122 12 -194
"2003-11-20 15:00:00" 324 131 198 12 -225
"2003-11-20 16:00:00" 324 158 229 9 -306
"2003-11-20 17:00:00" 324 124 285 -17 -429
"2003-11-20 18:00:00" 324 151 279 -1 -461
"2003-11-20 19:00:00" 324 173 291 -6 -444
"2003-11-20 20:00:00" 324 167 243 -15 -406
"2003-11-20 21:00:00" 324 174 252 -23 -389
"2003-11-20 22:00:00" 324 90 207 -37 -361
"2003-11-20 23:00:00" 324 69 74 -22 -323
