 Format                 IAGA-2002                                    |
 Source of Data         GFZ, Helmholtz-Zentrum Postdam, Germany      |
 Station Name           Kp index                                     |
 IAGA CODE              Kp                                           |
 Geodetic Latitude                                                   |
 Geodetic Longitude                                                  |
 Elevation                                                           |
 Reported               Kp, ap, Ap, Cp, C9 and related values        |
2021-10-09 06:00:00.000 282 1-   3     4 0.1  0  2566   21
2021-10-09 09:00:00.000 282 1o   4     4 0.1  0  2566   21
2021-10-09 12:00:00.000 282 2-   6     4 0.1  0  2566   21
2021-10-09 15:00:00.000 282 1-   3     4 0.1  0  2566   21
2021-10-09 18:00:00.000 282 1-   3     4 0.1  0  2566   21
2021-10-09 21:00:00.000 282 1-   3     4 0.1  0  2566   21
2021-10-10 00:00:00.000 283 1-   3    11 0.6  3  2566   22
2021-10-10 03:00:00.000 283 2o   7    11 0.6  3  2566   22
2021-10-10 06:00:00.000 283 1o   4    11 0.6  3  2566   22
2021-10-10 09:00:00.000 283 2o   7    11 0.6  3  2566   22
2021-10-10 12:00:00.000 283 3-  12    11 0.6  3  2566   22
2021-10-10 15:00:00.000 283 2o   7    11 0.6  3  2566   22
2021-10-10 18:00:00.000 283 2o   7    11 0.6  3  2566   22
2021-10-10 21:00:00.000 283 5-  39    11 0.6  3  2566   22
2021-10-11 00:00:00.000 284 3+  18    14 0.8  4  2566   23
2021-10-11 03:00:00.000 284 3+  18    14 0.8  4  2566   23
2021-10-11 06:00:00.000 284 3-  12    14 0.8  4  2566   23
2021-10-11 09:00:00.000 284 2o   7    14 0.8  4  2566   23
2021-10-11 12:00:00.000 284 2+   9    14 0.8  4  2566   23
2021-10-11 15:00:00.000 284 1o   4    14 0.8  4  2566   23
2021-10-11 18:00:00.000 284 3+  18    14 0.8  4  2566   23
2021-10-11 21:00:00.000 284 4-  22    14 0.8  4  2566   23
2021-10-12 00:00:00.000 285 5o  48    43 1.5  7  2566   24
2021-10-12 03:00:00.000 285 6o  80    43 1.5  7  2566   24
2021-10-12 06:00:00.000 285 5-  39    43 1.5  7  2566   24
2021-10-12 09:00:00.000 285 6o  80    43 1.5  7  2566   24
2021-10-12 12:00:00.000 285 4+  32    43 1.5  7  2566   24
2021-10-12 15:00:00.000 285 4o  27    43 1.5  7  2566   24
2021-10-12 18:00:00.000 285 3+  18    43 1.5  7  2566   24
2021-10-12 21:00:00.000 285 3+  18    43 1.5  7  2566   24
2021-10-13 00:00:00.000 286 3+  18     5 0.2  1  2566   25
2021-10-13 03:00:00.000 286 2+   9     5 0.2  1  2566   25
2021-10-13 06:00:00.000 286 1o   4     5 0.2  1  2566   25
2021-10-13 09:00:00.000 286 0o   0     5 0.2  1  2566   25
2021-10-13 12:00:00.000 286 0+   2     5 0.2  1  2566   25
2021-10-13 15:00:00.000 286 1-   3     5 0.2  1  2566   25
2021-10-13 18:00:00.000 286 0+   2     5 0.2  1  2566   25
2021-10-13 21:00:00.000 286 1-   3     5 0.2  1  2566   25
2021-10-14 00:00:00.000 287 2o   7     6 0.3  1  2566   26
2021-10-14 03:00:00.000 287 2o   7     6 0.3  1  2566   26
2021-10-14 06:00:00.000 287 1o   4     6 0.3  1  2566   26
2021-10-14 09:00:00.000 287 2o   7     6 0.3  1  2566   26
2021-10-14 12:00:00.000 287 1+   5     6 0.3  1  2566   26
2021-10-14 15:00:00.000 287 2-   6     6 0.3  1  2566   26
2021-10-14 18:00:00.000 287 2+   9     6 0.3  1  2566   26
2021-10-14 21:00:00.000 287 2o   7     6 0.3  1  2566   26
2021-10-15 00:00:00.000 288 2o   7     4 0.2  1  2566   27
2021-10-15 03:00:00.000 288 2-   6     4 0.2  1  2566   27
2021-10-15 06:00:00.000 288 1+   5     4 0.2  1  2566   27
2021-10-15 09:00:00.000 288 1+   5     4 0.2  1  2566   27
2021-10-15 12:00:00.000 288 0o   0     4 0.2  1  2566   27
2021-10-15 15:00:00.000 288 0o   0     4 0.2  1  2566   27
2021-10-15 18:00:00.000 288 1-   3     4 0.2  1  2566   27
2021-10-15 21:00:00.000 288 2+   9     4 0.2  1  2566   27
2021-10-16 00:00:00.000 289 3+  18     0 0.0  0  2567    1
2021-10-16 03:00:00.000 289 2o   7     0 0.0  0  2567    1
2021-10-16 06:00:00.000 289 1o   4     0 0.0  0  2567    1
2021-10-16 09:00:00.000 289 1+   5     0 0.0  0  2567    1
2021-10-16 12:00:00.000 289 0o   0     0 0.0  0  2567    1
2021-10-16 15:00:00.000 289 0o   0     0 0.0  0  2567    1
2021-10-16 18:00:00.000 289                      2567    1
2021-10-16 21:00:00.000 289                      2567    1
